section,name,type,title,go-to-url,go-to-title,,,,,,,,,
,,,,,,KDK,https://d1vfs9f7h1rfk4.cloudfront.net/brand/kdk.jpg,/kdk/,,,,,,
,,,,,,OPPO,https://d1vfs9f7h1rfk4.cloudfront.net/brand/oppo.jpg,/oppo/,,,,,,
,,,,,,Samsung,https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/samsung.jpg,/samsung/,,,,,,
,,,,,,Asus,https://d1vfs9f7h1rfk4.cloudfront.net/media/asus_2.png,/asus/,,,,,,
,,,,,,Dell,https://d1vfs9f7h1rfk4.cloudfront.net/media/dell.png,/dell/,,,,,,
,,,,,,Canon,https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/canon.jpg,/canon/,,,,,,
PLP-EL-Brand-SeeMore,section3_link,link,,,,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,,,/lenovo/,,,,,,
,,,,,,,,/hp/,,,,,,
,,,,,,,,/garmin/,,,,,,
,,,,,,,,/nokia/,,,,,,
,,,,,,,,/singer/,,,,,,
,,,,,,,,/acson/,,,,,,
,,,,,,,,/dyson/,,,,,,
,,,,,,,,/acer/,,,,,,
,,,,,,,,/epson/,,,,,,
,,,,,,,,/suunto/,,,,,,
,,,,,,,,/dji/,,,,,,
PLP-EL-Category-Carousel,section11,product-carousel,Explore More Electronics Products,,,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Computer,,https://iprice.my/computing,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,,https://iprice.my/computing/laptops/,,,,
,,,,,,,,,,https://iprice.my/computing/desktop-pcs/,,,,
,,,,,,,,,,https://iprice.my/computing/webcams/,,,,
,,,,,,,,,,https://iprice.my/computing/software/,,,,
,,,,,,,,,,https://iprice.my/computing/printers/,,,,
,,,,,,,,,,https://iprice.my/computing/hardware/,,,,
,,,,,,,,,,https://iprice.my/computing/accessories/,,,,
,,,,,,,,,,https://iprice.my/computing/external-storage/,,,,
,,,,,,,,,,https://iprice.my/computing/network-gear/,,,,
,,,,,,Phones & Tablets,,https://iprice.my/phones-tablets/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,,https://iprice.my/phones-tablets/smartphones/,,,,
,,,,,,,,,,https://iprice.my/phones-tablets/tablets/,,,,
,,,,,,,,,,https://iprice.my/phones-tablets/smartwatches/,,,,
,,,,,,,,,,https://iprice.my/phones-tablets/bluetooth-headsets/,,,,
,,,,,,,,,,https://iprice.my/phones-tablets/basic-phones/,,,,
,,,,,,,,,,https://iprice.my/upcoming-products/smartphones/,,,,
,,,,,,Gaming,,https://iprice.my/gaming/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,,https://iprice.my/gaming/playstation/,,,,
,,,,,,,,,,https://iprice.my/gaming/xbox/,,,,
,,,,,,,,,,https://iprice.my/gaming/games/,,,,
,,,,,,,,,,https://iprice.my/gaming/controllers/,,,,
,,,,,,,,,,https://iprice.my/gaming/nintendo/,,,,
,,,,,,,,,,https://iprice.my/gaming/accessories/,,,,
,,,,,,,,,,https://iprice.my/gaming/mobile/,,,,
,,,,,,,,,,https://iprice.my/gaming/other-consoles/,,,,
,,,,,,Camera & Photo,,https://iprice.my/camera-photo/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,,https://iprice.my/camera-photo/dslrs/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/camcorders/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/polaroid/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/drones/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/cctv/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/action/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/mirrorless/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/underwater/,,,,
,,,,,,,,,,https://iprice.my/camera-photo/compact/,,,,
,,,,,,"TV, Video & DVD",,https://iprice.my/tv-video-dvd/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/media-players/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/blu-ray/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/dvd-players/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/led/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/oled/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/plasma/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/uhd/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/accessories/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/streaming-media-players/,,,,
,,,,,,,,,,https://iprice.my/tv-video-dvd/hdmi-media-players/,,,,
,,,,,,Appliances,,https://iprice.my/appliances/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,,https://iprice.my/appliances/fans/,,,,
,,,,,,,,,,https://iprice.my/appliances/refrigerators/,,,,
,,,,,,,,,,https://iprice.my/appliances/vacuum-cleaners/,,,,
,,,,,,,,,,https://iprice.my/appliances/air-conditioners/,,,,
,,,,,,,,,,https://iprice.my/appliances/microwaves/,,,,
,,,,,,,,,,https://iprice.my/appliances/freezers/,,,,
,,,,,,,,,,https://iprice.my/appliances/dishwashers/,,,,
,,,,,,,,,,https://iprice.my/appliances/cookers/,,,,
,,,,,,,,,,https://iprice.my/appliances/ovens/,,,,
,,,,,,,,,,https://iprice.my/appliances/mixers/,,,,
PDP-EL-Carousel,section1,product-carousel,See Prices from Various Stores,,,items,,,,,,,,
,,,,,,name,price,store-count,image-url,url,,,,
,,,,,,,,,,/compare/oppo-f9/,,,,
,,,,,,,,,,/compare/huawei-nova-2i/,,,,
,,,,,,,,,,/compare/apple-iphone-xs/,,,,
,,,,,,,,,,/compare/vivo-v9/,,,,
,,,,,,,,,,/compare/huawei-nova-3i/,,,,
,,,,,,,,,,/compare/huawei-p20-pro/,,,,
,,,,,,,,,,/compare/huawei-p20/,,,,
