Huawei	Mobile Phones	https://d1vfs9f7h1rfk4.cloudfront.net/media/huawei.png
Samsung	Mobile Phones	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/samsung.jpg
ASUS	Mobile Phones	https://d1vfs9f7h1rfk4.cloudfront.net/media/asus_2.png
Toshiba	Washing Machines	https://d1vfs9f7h1rfk4.cloudfront.net/media/toshiba_2.png
Toshiba	Refrigerators	https://d1vfs9f7h1rfk4.cloudfront.net/media/toshiba_2.png
KDK	Fans	https://d1vfs9f7h1rfk4.cloudfront.net/brand/kdk.jpg
Canon	Camera & Photo	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/canon.jpg
Xiaomi	Mobile Phones	https://d1vfs9f7h1rfk4.cloudfront.net/brand/xiaomi.jpg
Dyson	Vacuum Cleaners	https://d1vfs9f7h1rfk4.cloudfront.net/brand/dyson.jpg
Daikin	Air Conditioners	https://d1vfs9f7h1rfk4.cloudfront.net/brand/daikin.jpg
Canon	Printers	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/canon.jpg
Sharp	Refrigerators	
Panasonic	Fans	https://d1vfs9f7h1rfk4.cloudfront.net/media/panasonic.png
York	Air Conditioners	
Sharp	Washing Machines	
Brother	Printers	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/brother.jpg
Samsung	Smartwatches	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/samsung.jpg
Panasonic	Refrigerators	https://d1vfs9f7h1rfk4.cloudfront.net/media/panasonic.png
Brother	Printers	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/brother.jpg
