true	FILA	Shoes	https://iprice.ph/fila/shoes/men/	https://p.ipricegroup.com/c642fff9e4e0980519ff47a1b38f335e5d08b8c4_0.jpg
true	Anello	Bag	https://iprice.ph/anello/bags/men/	https://p.ipricegroup.com/a2bad221c3831589ecb7b34271624cf95fccfb00_0.jpg
true	Balenciaga	Shoes	https://iprice.ph/balenciaga/shoes/men/	https://p.ipricegroup.com/02f07d8cc519341e4651ff72cf9fe3d9f8ce5f02_0.jpg
true	Balenciaga	Sneakers	https://iprice.ph/balenciaga/shoes/men/sneakers/	https://p.ipricegroup.com/02f07d8cc519341e4651ff72cf9fe3d9f8ce5f02_0.jpg
true	Parisian	Shoes	https://iprice.ph/search/&term=parisian+shoes&gender=1	
true	Lacoste	Bag	https://iprice.ph/lacoste/bags/men/	https://p.ipricegroup.com/408f0e2100098e1060280e7f4fb3de7f411579b2_0.jpg
false	Charles & Keith	Bag		
true	Anta	Shoes	https://iprice.ph/anta/shoes/men/	https://p.ipricegroup.com/f415383488bd3fe2a068b173a9e3af6dd612f1d3_0.jpg
true	SMAEL	Watches	https://iprice.ph/search/&term=smael+watches&gender=1	
true	Swatch	Watches	https://iprice.ph/swatch/watches/men/	https://p.ipricegroup.com/8ba1cf477033f26e610d866c912dbf0293dd0f86_0.jpg
true	Coach	Handbags	https://iprice.ph/coach/bags/men/handbags/	https://p.ipricegroup.com/20fe42ce896555d8ffb3614e3cb5064bace950ec_0.jpg
true	Onitsuka Tiger	Shoes	https://iprice.ph/onitsuka-tiger/shoes/men/	https://p.ipricegroup.com/d9e48fb7f29721963da9f704b5ec7195b7465775_0.jpg
true	Adidas	Shoes	https://iprice.ph/adidas/shoes/men/	https://p.ipricegroup.com/2af71430a4fca8a88de163b002f04f2ac43ec3dd_0.jpg
false	Pandora	Jewelry		
false	Silverworks	Rings		
true	Oxygen	Clothing	https://iprice.ph/oxygen/clothing/men/	https://p.ipricegroup.com/40fc631a6b1bae6856e05e1475e80acb8eb9afbc_0.jpg
true	Rolex	Watches	https://iprice.ph/rolex/watches/men/	https://p.ipricegroup.com/8bbc8599b91541846d6721e4439cadd3fd311abb_0.jpg
false	Alba	Watches		
true	Jo Malone	Perfume	https://iprice.ph/jo-malone/perfume/men/	https://p.ipricegroup.com/cd98480dee1ecbbaf8505e3eb59150fd58c233a3_0.jpg
false	Supreme	Bag		
