true	Louis Vuitton	Bags	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/louis-vuitton.jpg
true	Coach	Bags	https://d1vfs9f7h1rfk4.cloudfront.net/brand/coach.jpg
true	Swarovski	Jewellery	https://d1vfs9f7h1rfk4.cloudfront.net/media/Zach__2_/swarovski.png
true	BONIA	Bags	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/bonia.jpg
true	Vincci	Shoes	https://d1vfs9f7h1rfk4.cloudfront.net/media/Zach__2_/vincci.png
false	Poh Kong	Jewellery	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/poh-kong.jpg
false	HLA	Clothing	
true	Alexandre Christie	Watches	
true	FILA	Shoes	https://d1vfs9f7h1rfk4.cloudfront.net/brand/fila.jpg
false	Charles & Keith	Bags	https://d1vfs9f7h1rfk4.cloudfront.net/brand/charles-keith.jpg
false	Pandora	Jewellery	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/pandora.jpg
true	Longchamp	Bags	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/longchamp.jpg
true	Vincci	Bags	https://d1vfs9f7h1rfk4.cloudfront.net/media/Zach__2_/vincci.png
true	BONIA	Watches	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/bonia.jpg
true	Furla	Bags	https://d1vfs9f7h1rfk4.cloudfront.net/brand/furla.jpg
true	Burberry	Bags	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/burberry.jpg
true	Tiffany & Co.	Jewellery	https://d1vfs9f7h1rfk4.cloudfront.net/media/tiffany.png
true	Mcm	Bags	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/mcm.jpg
true	Cerruti 1881	Watches	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/cerruti-1881.jpg
true	Tomei	Jewellery	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/tomei.jpg
true	Alba	Watches	https://d1vfs9f7h1rfk4.cloudfront.net/brand/alba.jpg
true	Nike	Shoes	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/nike.jpg
