,name,type,title,go-to-url,go-to-title,,,,,,,,,
,,,,,,Xiaomi,Smartphone,https://p.ipricegroup.com/uploaded_4526300e3c36a72c5cba02f42d22b268.jpg,https://iprice.ph/xiaomi/phones-tablets/smartphones/,,,,,
,,,,,,Acer,Laptop,https://p.ipricegroup.com/uploaded_ee01c45d904d866957cce7ca35cc14ea.jpg,https://iprice.ph/acer/computing/laptops/,,,,,
,,,,,,,,,https://iprice.ph/firefly-mobile/phones-tablets/smartphones/,,,,,
PLP-EL-Brand-Carousel,section3_brand,catagory-carousel-no-text,,,,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Cherry Mobile,https://a.ipricegroup.com/brand/cherry-mobile.jpg,https://iprice.ph/cherry-mobile/,,,,,,
,,,,,,Acer,https://a.ipricegroup.com/media/acer.png,https://iprice.ph/acer/,,,,,,
,,,,,,Apple,https://a.ipricegroup.com/media/apple_2.png,https://iprice.ph/apple/,,,,,,
,,,,,,Samsung,https://a.ipricegroup.com/brand/samsung.jpg,https://iprice.ph/samsung/,,,,,,
,,,,,,CloudFone,https://a.ipricegroup.com/brand/cloudfone.jpg,https://iprice.ph/cloudfone/,,,,,,
,,,,,,Dell,https://a.ipricegroup.com/media/dell.png,https://iprice.ph/dell/,,,,,,
,,,,,,OPPO,https://a.ipricegroup.com/brand/oppo.jpg,https://iprice.ph/oppo/,,,,,,
,,,,,,ASUS,https://a.ipricegroup.com/media/asus_2.png,https://iprice.ph/asus/,,,,,,
,,,,,,Vivo,https://a.ipricegroup.com/brand/vivo.jpg,https://iprice.ph/vivo/,,,,,,
,,,,,,Sony,https://a.ipricegroup.com/media/sony.png,https://iprice.ph/sony/,,,,,,
,,,,,,Nokia,https://a.ipricegroup.com/brand/nokia.jpg,https://iprice.ph/nokia/,,,,,,
,,,,,,LG,https://a.ipricegroup.com/media/lg.png,https://iprice.ph/lg/,,,,,,
,,,,,,Huawei,https://a.ipricegroup.com/media/huawei.png,https://iprice.ph/huawei/,,,,,,
,,,,,,HP,https://a.ipricegroup.com/brand/hp.jpg,https://iprice.ph/hp/,,,,,,
,,,,,,MyPhone,https://a.ipricegroup.com/brand/myphone.jpg,https://iprice.ph/myphone/,,,,,,
,,,,,,Lenovo,https://a.ipricegroup.com/media/lenovos.png,https://iprice.ph/lenovo/,,,,,,
,,,,,,Xiaomi,https://a.ipricegroup.com/brand/xiaomi.jpg,https://iprice.ph/xiaomi/,,,,,,
,,,,,,Motorola,https://themrphone.com/tech/wp-content/uploads/2017/12/Untitled-82.png,https://iprice.ph/motorola/,,,,,,
,,,,,,GoPro,https://a.ipricegroup.com/brand/gopro.jpg,https://iprice.ph/gopro/,,,,,,
,,,,,,Panasonic,https://a.ipricegroup.com/media/panasonic.png,https://iprice.ph/panasonic/,,,,,,
,,,,,,,https://a.ipricegroup.com/media/homepage/EN_allbrands.jpg,https://iprice.ph/brands/,,,,,,
PLP-EL-Category-Carousel,section11,product-carousel,,,,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Computer,https://a.ipricegroup.com/media/homepage/Icon_v2/Computers.png,https://iprice.ph/computing/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Laptop,https://iprice.ph/computing/laptops/,,,,
,,,,,,,,,Desktop Computer,https://iprice.ph/computing/desktop-pcs/,,,,
,,,,,,,,,Webcam,https://iprice.ph/computing/webcams/,,,,
,,,,,,,,,Computer Software,https://iprice.ph/computing/software/,,,,
,,,,,,,,,Printer,https://iprice.ph/computing/printers/,,,,
,,,,,,,,,Computer Hardware,https://iprice.ph/computing/hardware/,,,,
,,,,,,,,,Computing Accessories,https://iprice.ph/computing/accessories/,,,,
,,,,,,,,,External Storage,https://iprice.ph/computing/external-storage/,,,,
,,,,,,,,,Network Gear,https://iprice.ph/computing/network-gear/,,,,
,,,,,,Phones & Tablets,https://a.ipricegroup.com/media/homepage/Icon_v2/Tablets_and_Phones.png,https://iprice.ph/phones-tablets/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Smartphone,https://iprice.ph/phones-tablets/smartphones/,,,,
,,,,,,,,,Tablet,https://iprice.ph/phones-tablets/tablets/,,,,
,,,,,,,,,Smart Watch,https://iprice.ph/phones-tablets/smartwatches/,,,,
,,,,,,,,,Bluetooth Headset,https://iprice.ph/phones-tablets/bluetooth-headsets/,,,,
,,,,,,,,,Basic Phone,https://iprice.ph/phones-tablets/basic-phones/,,,,
,,,,,,,,,Upcoming Smartphone,https://iprice.ph/upcoming-products/smartphones/,,,,
,,,,,,Gaming,https://a.ipricegroup.com/media/homepage/Icon_v2/Gaming.png,https://iprice.ph/gaming/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Playstation,https://iprice.ph/gaming/playstation/,,,,
,,,,,,,,,Xbox,https://iprice.ph/gaming/xbox/,,,,
,,,,,,,,,Games,https://iprice.ph/gaming/games/,,,,
,,,,,,,,,Controllers,https://iprice.ph/gaming/controllers/,,,,
,,,,,,,,,Nintendo,https://iprice.ph/gaming/nintendo/,,,,
,,,,,,,,,Accessories,https://iprice.ph/gaming/accessories/,,,,
,,,,,,,,,Mobile,https://iprice.ph/gaming/mobile/,,,,
,,,,,,,,,Other Consoles,https://iprice.ph/gaming/other-consoles/,,,,
,,,,,,Camera & Photo,https://a.ipricegroup.com/media/homepage/Icon_v2/Cameras.png,https://iprice.ph/camera-photo/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,DSLR Camera,https://iprice.ph/camera-photo/dslrs/,,,,
,,,,,,,,,Camcorders,https://iprice.ph/camera-photo/camcorders/,,,,
,,,,,,,,,Polaroid Camera,https://iprice.ph/camera-photo/polaroid/,,,,
,,,,,,,,,Drone Camera,https://iprice.ph/camera-photo/drones/,,,,
,,,,,,,,,CCTV,https://iprice.ph/camera-photo/cctv/,,,,
,,,,,,,,,Action Camera,https://iprice.ph/camera-photo/action/,,,,
,,,,,,,,,Mirrorless Camera,https://iprice.ph/camera-photo/mirrorless/,,,,
,,,,,,,,,Underwater,https://iprice.ph/camera-photo/underwater/,,,,
,,,,,,,,,Compact Cameras,https://iprice.ph/camera-photo/compact/,,,,
,,,,,,"TV, Video & DVD",https://a.ipricegroup.com/media/homepage/Icon_v2/Tv__DVD.png,https://iprice.ph/tv-video-dvd/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Media Players,https://iprice.ph/tv-video-dvd/media-players/,,,,
,,,,,,,,,Blu-Ray,https://iprice.ph/tv-video-dvd/blu-ray/,,,,
,,,,,,,,,DVD Player,https://iprice.ph/tv-video-dvd/dvd-players/,,,,
,,,,,,,,,LED TV,https://iprice.ph/tv-video-dvd/led/,,,,
,,,,,,,,,Accessories,https://iprice.ph/tv-video-dvd/accessories/,,,,
,,,,,,,,,Streaming Media Players,https://iprice.ph/tv-video-dvd/streaming-media-players/,,,,
,,,,,,Appliances,https://a.ipricegroup.com/media/homepage/Icon_v2/Appliances.png,https://iprice.ph/appliances/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Fan,https://iprice.ph/appliances/fans/,,,,
,,,,,,,,,Refrigerator,https://iprice.ph/appliances/refrigerators/,,,,
,,,,,,,,,Vacuum Cleaner,https://iprice.ph/appliances/vacuum-cleaners/,,,,
,,,,,,,,,Air Conditioner,https://iprice.ph/appliances/air-conditioners/,,,,
,,,,,,,,,Coffee Machine,https://iprice.ph/appliances/coffee-machines/,,,,
,,,,,,,,,Dishwasher,https://iprice.ph/appliances/dishwashers/,,,,
,,,,,,,,,Cookers,https://iprice.ph/appliances/cookers/,,,,
,,,,,,,,,Oven,https://iprice.ph/appliances/ovens/,,,,
,,,,,,,,,Mixer,https://iprice.ph/appliances/mixers/,,,,
PDP-EL-Carousel,section1,product-carousel,,,,items,,,,,,,,
,,,,,,name,price,store-count,image-url,url,,,,
,,,,,,Vivo Y81,"₱ 8,990.00",2,https://p.ipricegroup.com/uploaded_cdd310d65f9dc6902134da0b5d34ad78.jpg,https://iprice.ph/compare/vivo-y81/,,,,
,,,,,,Sony Xperia L2,"₱ 16,490.00",3,https://p.ipricegroup.com/a3301088f164a2753215105a7cc5b6fdcca42202_0.jpg,https://iprice.ph/compare/sony-xperia-l2/,,,,
,,,,,,Huawei Y9 (2019),"₱ 10,700.00",6,https://p.ipricegroup.com/uploaded_50d2a6a3fe416211324d91f5c27f1483.jpg,https://iprice.ph/compare/huawei-y9-2019/,,,,
,,,,,,vivo V11 Pro,"₱ 2,599.00",1,https://p.ipricegroup.com/uploaded_2a965b51b4ef6c87089911e058fdea38.jpg,https://iprice.ph/compare/vivo-v11-pro/,,,,
,,,,,,Samsung Galaxy A7 (2018),"₱ 15,500.00",1,https://p.ipricegroup.com/uploaded_7a97236fb11988dec0a943f025e97d31.jpg,https://iprice.ph/compare/samsung-galaxy-a7-2018/,,,,
,,,,,,Oppo F9,"₱ 13,990.00",4,https://p.ipricegroup.com/uploaded_21341b6cab21d9a89dffd046533a368a.jpg,https://iprice.ph/compare/oppo-f9/,,,,
,,,,,,Apple iPhone 8,"₱ 31,607.00",5,https://p.ipricegroup.com/uploaded_724d9e8a2309f7d7b3b5678aed75d8e8.jpg,https://iprice.ph/compare/apple-iphone-8/,,,,
,,,,,,Huawei P20,"₱ 25,599.00",6,https://p.ipricegroup.com/uploaded_be15a1d2f9ff3e960fd0eae8a7f1a4c0.jpg,https://iprice.ph/compare/huawei-p20/,,,,
,,,,,,Cherry Mobile Flare S7 Plus,"₱ 11,999.00",1,https://p.ipricegroup.com/uploaded_0bde053d2190b0b68f904c8f8d068128.jpg,https://iprice.ph/compare/cherry-mobile-flare-s7-plus/,,,,
,,,,,,Samsung Galaxy A8 (2018),"₱ 15,699.50",4,https://p.ipricegroup.com/uploaded_bd370bb5d32f597702c43eca268a9e24.jpg,https://iprice.ph/compare/samsung-galaxy-a8-2018/,,,,
,,,,,,Huawei Y7 Pro 2019,"₱ 7,000.00",4,https://p.ipricegroup.com/uploaded_749c585ea078ce1d33352bd9f7b70db2.jpg,https://iprice.ph/compare/huawei-y7-pro-2019/,,,,
,,,,,,Huawei Mate 20,"₱ 25,558.28",5,https://p.ipricegroup.com/95fd95caadddb13ef45291f6c8561466f7a551b4_0.jpg,https://iprice.ph/compare/huawei-mate-20/,,,,
,,,,,,Apple iPhone X,"₱ 52,362.00",4,https://p.ipricegroup.com/uploaded_149fd591353013eb0adad5ae2ac51dcf.jpg,https://iprice.ph/compare/apple-iphone-x/,,,,
,,,,,,Vivo V9,"₱ 12,500.00",4,https://p.ipricegroup.com/uploaded_084310ff7b6e8b27be1ab02acbeea6d1.jpg,https://iprice.ph/compare/vivo-v9/,,,,
,,,,,,Samsung Galaxy A50,"₱ 7,727.46",6,https://p.ipricegroup.com/uploaded_6fef33c1878d945ff5cb7845bba2af47.jpg,https://iprice.ph/compare/samsung-galaxy-a50/,,,,
,,,,,,Samsung Galaxy A10,"₱ 6,850.00",6,https://p.ipricegroup.com/uploaded_29740acaed963ad2ed3aea07bace9c62.jpg,https://iprice.ph/compare/samsung-galaxy-a10/,,,,
,,,,,,Cherry Mobile Flare S6,"₱ 1,569.95",2,https://p.ipricegroup.com/uploaded_42778ca863e8bf32145b32cf1a08724e.jpg,https://iprice.ph/compare/cherry-mobile-flare-s6/,,,,
,,,,,,OPPO Find X,"₱ 35,000.00",1,https://p.ipricegroup.com/uploaded_f3d7f1043fd2d756b4384647c73dec9c.jpg,https://iprice.ph/compare/oppo-find-x/,,,,
,,,,,,Huawei Y6 (2018),"₱ 4,900.00",5,https://p.ipricegroup.com/uploaded_398a603c387fc6a08de7287bf5a435fe.jpg,https://iprice.ph/compare/huawei-y6-2018/,,,,
,,,,,,Samsung Galaxy S9,"₱ 27,690.00",6,https://p.ipricegroup.com/uploaded_9b5e2c28a190bf4ecb973112f95d8075.jpg,https://iprice.ph/compare/samsung-galaxy-s9/,,,,
PDP-EL-SeeMore,section1_link,link,,,,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Samsung Galaxy S8,https://p.ipricegroup.com/uploaded_c9d27e115928859ce037665d8409492b.jpg,https://iprice.ph/compare/samsung-galaxy-s8/,,,,,,
,,,,,,OPPO F5,https://p.ipricegroup.com/55709704_0.jpg,https://iprice.ph/compare/oppo-f5/,,,,,,
,,,,,,Huawei 2019 Y6 Pro,https://p.ipricegroup.com/uploaded_7e506974565050ac5b1ed4440908617e.jpg,https://iprice.ph/compare/huawei-2019-y6-pro/,,,,,,
,,,,,,Nintendo Switch,https://p.ipricegroup.com/uploaded_731cd7cd5ef09e6b4b6f973e03bcc86a.jpg,https://iprice.ph/compare/nintendo-switch/,,,,,,
,,,,,,Nokia 3310 (2017),https://p.ipricegroup.com/uploaded_efdf57064ec4e4e7aa10eaa53b2c1c2e.jpg,https://iprice.ph/compare/nokia-3310-2017/,,,,,,
,,,,,,Samsung Galaxy Note 8,https://p.ipricegroup.com/uploaded_7457688518fb740e3a6c723ba2b40654.jpg,https://iprice.ph/compare/samsung-galaxy-note-8/,,,,,,
,,,,,,Cherry Mobile Flare X,https://p.ipricegroup.com/uploaded_158ca0f5ff01ff162963af880c773678.jpg,https://iprice.ph/compare/cherry-mobile-flare-x/,,,,,,
,,,,,,Samsung Galaxy A6 (2018),https://p.ipricegroup.com/uploaded_fa266b125d76f7e9b849a0aafcc3bd6f.jpg,https://iprice.ph/compare/samsung-galaxy-a6-2018/,,,,,,
,,,,,,Huawei P9,https://p.ipricegroup.com/uploaded_b6da50243f44f21f38d69fde447650a7.jpg,https://iprice.ph/compare/huawei-p9/,,,,,,
,,,,,,Xiaomi Mi 5,https://p.ipricegroup.com/uploaded_00d2a341f04f648d82133e2b5892fa9c.jpg,https://iprice.ph/compare/xiaomi-mi-5/,,,,,,
,,,,,,Samsung Galaxy S6,https://p.ipricegroup.com/uploaded_fdb8a9cfb6b55fa918180131d65a1c58.jpg,https://iprice.ph/compare/samsung-galaxy-s6/,,,,,,
,,,,,,Vivo V5,https://p.ipricegroup.com/uploaded_5f8caf5be2e1c0ec9bc92c067eda0276.jpg,https://iprice.ph/compare/vivo-v5/,,,,,,
,,,,,,Huawei P10,https://p.ipricegroup.com/uploaded_33bfb9a6905ccfc7ec946b1ebd45777b.jpg,https://iprice.ph/compare/huawei-p10/,,,,,,
,,,,,,vivo V7,https://p.ipricegroup.com/uploaded_6f77f5224fb144d2efc87a68be67619b.jpg,https://iprice.ph/compare/vivo-v7/,,,,,,
,,,,,,Nokia 6,https://p.ipricegroup.com/uploaded_ea1afd2609b2fe00330cfc8dadd05d95.jpg,https://iprice.ph/compare/nokia-6/,,,,,,
,,,,,,Samsung Galaxy A7 (2017),https://p.ipricegroup.com/uploaded_deff1795b23621d243dd91ee4c3513cd.jpg,https://iprice.ph/compare/samsung-galaxy-a7-2017/,,,,,,
,,,,,,OPPO F7,https://p.ipricegroup.com/uploaded_498dd38d23174a22ba540940118c6477.jpg,https://iprice.ph/compare/oppo-f7/,,,,,,
,,,,,,Apple iPhone 5s,https://p.ipricegroup.com/uploaded_b6f366ef802ae2f566c0c35c09bb83d8.jpg,https://iprice.ph/compare/apple-iphone-5s/,,,,,,
,,,,,,Apple iPhone 7,https://p.ipricegroup.com/uploaded_dea2a1a61d2e16e71fd0ef988a900d67.jpg,https://iprice.ph/compare/apple-iphone-7/,,,,,,
,,,,,,Cherry Mobile Flare S5,https://p.ipricegroup.com/uploaded_87aaf461630a02be92e98d2cd282ff8b.jpg,https://iprice.ph/compare/cherry-mobile-flare-s5/,,,,,,
