section,name,type,title,go-to-url,go-to-title,,,,,,,,,
,,,,,,Xiaomi,https://a.ipricegroup.com/brand/xiaomi.jpg,https://iprice.my/xiaomi/,,,,,,
,,,,,,Dell,https://a.ipricegroup.com/media/dell.png,https://iprice.my/dell/,,,,,,
,,,,,,ASUS,https://a.ipricegroup.com/media/asus_2.png,https://iprice.my/asus/,,,,,,
,,,,,,Sony,https://a.ipricegroup.com/media/sony.png,https://iprice.my/sony/,,,,,,
,,,,,,HP,https://a.ipricegroup.com/brand/hp.jpg,https://iprice.my/hp/,,,,,,
,,,,,,Huawei,https://a.ipricegroup.com/media/huawei.png,https://iprice.my/huawei/,,,,,,
,,,,,,Vivo,https://a.ipricegroup.com/brand/vivo.jpg,https://iprice.my/vivo/,,,,,,
,,,,,,Acer,https://a.ipricegroup.com/media/acer.png,https://iprice.my/acer/,,,,,,
,,,,,,Lenovo,https://a.ipricegroup.com/media/lenovos.png,https://iprice.my/lenovo/,,,,,,
,,,,,,Canon,https://a.ipricegroup.com/brand/canon.jpg,https://iprice.my/canon/,,,,,,
,,,,,,Panasonic,https://a.ipricegroup.com/media/panasonic.png,https://iprice.my/panasonic/,,,,,,
,,,,,,ONEXOX,https://a.ipricegroup.com/brand/onexox.jpg,https://iprice.my/onexox/,,,,,,
,,,,,,OnePlus,https://a.ipricegroup.com/brand/oneplus.jpg,https://iprice.my/oneplus/,,,,,,
,,,,,,LG,,https://iprice.my/lg/,,,,,,
,,,,,,GoPro,https://a.ipricegroup.com/brand/gopro.jpg,https://iprice.my/gopro/,,,,,,
,,,,,,TP-LINK,https://a.ipricegroup.com/brand/tp-link.jpg,https://iprice.my/tp-link/,,,,,,
,,,,,,Nokia,https://a.ipricegroup.com/brand/nokia.jpg,https://iprice.my/nokia/,,,,,,
,,,,,,MSI,https://a.ipricegroup.com/brand/msi.jpg,https://iprice.my/msi/,,,,,,
,,,,,,,https://a.ipricegroup.com/media/homepage/EN_allbrands.jpg,https://iprice.my/brands/,,,,,,
PLP-EL-Category-Carousel,section11,product-carousel,,,,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Computer,https://a.ipricegroup.com/media/homepage/Icon_v2/Computers.png,https://iprice.my/computing/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Laptops,https://iprice.my/computing/laptops/,,,,
,,,,,,,,,Desktop PCs,https://iprice.my/computing/desktop-pcs/,,,,
,,,,,,,,,Webcams,https://iprice.my/computing/webcams/,,,,
,,,,,,,,,Software,https://iprice.my/computing/software/,,,,
,,,,,,,,,Printers,https://iprice.my/computing/printers/,,,,
,,,,,,,,,Hardware,https://iprice.my/computing/hardware/,,,,
,,,,,,,,,Accessories,https://iprice.my/computing/accessories/,,,,
,,,,,,,,,External Storage,https://iprice.my/computing/external-storage/,,,,
,,,,,,,,,Network Gear,https://iprice.my/computing/network-gear/,,,,
,,,,,,Phones & Tablets,https://a.ipricegroup.com/media/homepage/Icon_v2/Tablets_and_Phones.png,https://iprice.my/phones-tablets/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Smartphones,https://iprice.my/phones-tablets/smartphones/,,,,
,,,,,,,,,Tablets,https://iprice.my/phones-tablets/tablets/,,,,
,,,,,,,,,Smartwatches,https://iprice.my/phones-tablets/smartwatches/,,,,
,,,,,,,,,Bluetooth Headsets,https://iprice.my/phones-tablets/bluetooth-headsets/,,,,
,,,,,,,,,Basic Phones,https://iprice.my/phones-tablets/basic-phones/,,,,
,,,,,,,,,Upcoming Mobile Phones,https://iprice.my/upcoming-products/smartphones/,,,,
,,,,,,Gaming,https://a.ipricegroup.com/media/homepage/Icon_v2/Gaming.png,https://iprice.my/gaming/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Playstation,https://iprice.my/gaming/playstation/,,,,
,,,,,,,,,Xbox,https://iprice.my/gaming/xbox/,,,,
,,,,,,,,,Games,https://iprice.my/gaming/games/,,,,
,,,,,,,,,Controllers,https://iprice.my/gaming/controllers/,,,,
,,,,,,,,,Nintendo,https://iprice.my/gaming/nintendo/,,,,
,,,,,,,,,Accessories,https://iprice.my/gaming/accessories/,,,,
,,,,,,,,,Mobile,https://iprice.my/gaming/mobile/,,,,
,,,,,,,,,Other Consoles,https://iprice.my/gaming/other-consoles/,,,,
,,,,,,Camera & Photo,https://a.ipricegroup.com/media/homepage/Icon_v2/Cameras.png,https://iprice.my/camera-photo/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,DSLRs,https://iprice.my/camera-photo/dslrs/,,,,
,,,,,,,,,Camcorders,https://iprice.my/camera-photo/camcorders/,,,,
,,,,,,,,,Polaroid,https://iprice.my/camera-photo/polaroid/,,,,
,,,,,,,,,Drones,https://iprice.my/camera-photo/drones/,,,,
,,,,,,,,,CCTV,https://iprice.my/camera-photo/cctv/,,,,
,,,,,,,,,Action,https://iprice.my/camera-photo/action/,,,,
,,,,,,,,,Mirrorless Cameras,https://iprice.my/camera-photo/mirrorless/,,,,
,,,,,,,,,Underwater,https://iprice.my/camera-photo/underwater/,,,,
,,,,,,,,,Compact Cameras,https://iprice.my/camera-photo/compact/,,,,
,,,,,,"TV, Video & DVD",https://a.ipricegroup.com/media/homepage/Icon_v2/Tv__DVD.png,https://iprice.my/tv-video-dvd/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Media Players,https://iprice.my/tv-video-dvd/media-players/,,,,
,,,,,,,,,Blu-Ray,https://iprice.my/tv-video-dvd/blu-ray/,,,,
,,,,,,,,,DVD Players,https://iprice.my/tv-video-dvd/dvd-players/,,,,
,,,,,,,,,LED,https://iprice.my/tv-video-dvd/led/,,,,
,,,,,,,,,OLED,https://iprice.my/tv-video-dvd/oled/,,,,
,,,,,,,,,Plasma,https://iprice.my/tv-video-dvd/plasma/,,,,
,,,,,,,,,UHD,https://iprice.my/tv-video-dvd/uhd/,,,,
,,,,,,,,,Accessories,https://iprice.my/tv-video-dvd/accessories/,,,,
,,,,,,,,,Streaming Media Players,https://iprice.my/tv-video-dvd/streaming-media-players/,,,,
,,,,,,,,,HDMI Media Players,https://iprice.my/tv-video-dvd/hdmi-media-players/,,,,
,,,,,,Appliances,https://a.ipricegroup.com/media/homepage/Icon_v2/Appliances.png,https://iprice.my/appliances/,items1,,,,,
,,,,,,,,,name,url,,,,
,,,,,,,,,Fans,https://iprice.my/appliances/fans/,,,,
,,,,,,,,,Refrigerators,https://iprice.my/appliances/refrigerators/,,,,
,,,,,,,,,Vacuum Cleaners,https://iprice.my/appliances/vacuum-cleaners/,,,,
,,,,,,,,,Air Conditioners,https://iprice.my/appliances/air-conditioners/,,,,
,,,,,,,,,Microwaves,https://iprice.my/appliances/microwaves/,,,,
,,,,,,,,,Freezers,https://iprice.my/appliances/freezers/,,,,
,,,,,,,,,Dishwashers,https://iprice.my/appliances/dishwashers/,,,,
,,,,,,,,,Cookers,https://iprice.my/appliances/cookers/,,,,
,,,,,,,,,Ovens,https://iprice.my/appliances/ovens/,,,,
,,,,,,,,,Mixers,https://iprice.my/appliances/mixers/,,,,
PDP-EL-Carousel,section1,product-carousel,,,,items,,,,,,,,
,,,,,,name,price,store-count,image-url,url,,,,
,,,,,,Apple iPhone 7,"RM 1,280.00",5,https://p.ipricegroup.com/uploaded_dea2a1a61d2e16e71fd0ef988a900d67.jpg,https://iprice.my/compare/apple-iphone-7/,,,,
,,,,,,Huawei P10,"RM 1,225.50",7,https://p.ipricegroup.com/uploaded_33bfb9a6905ccfc7ec946b1ebd45777b.jpg,https://iprice.my/compare/huawei-p10/,,,,
,,,,,,Apple iPhone 7 Plus,"RM 1,370.00",6,https://p.ipricegroup.com/uploaded_dee720e7e03b30a7d8f5a058d6c97cce.jpg,https://iprice.my/compare/apple-iphone-7-plus/,,,,
,,,,,,Samsung Galaxy S8,"RM 1,500.00",6,https://p.ipricegroup.com/uploaded_c9d27e115928859ce037665d8409492b.jpg,https://iprice.my/compare/samsung-galaxy-s8/,,,,
,,,,,,Huawei P20,"RM 1,501.00",7,https://p.ipricegroup.com/uploaded_be15a1d2f9ff3e960fd0eae8a7f1a4c0.jpg,https://iprice.my/compare/huawei-p20/,,,,
,,,,,,OPPO F5,RM 230.00,5,https://p.ipricegroup.com/uploaded_aa1c62a8426509d20f2b3e0c11704f93.jpg,https://iprice.my/compare/oppo-f5/,,,,
,,,,,,Huawei Mate 10,"RM 2,169.00",5,https://p.ipricegroup.com/uploaded_98875d420da84e66df97ff47341a0449.jpg,https://iprice.my/compare/huawei-mate-10/,,,,
,,,,,,Samsung Galaxy Note 8,"RM 1,899.00",5,https://p.ipricegroup.com/uploaded_f0e78e2652de7de88931325edc745dd5.jpg,https://iprice.my/compare/samsung-galaxy-note-8/,,,,
,,,,,,OPPO F7,"RM 1,076.00",3,https://p.ipricegroup.com/uploaded_498dd38d23174a22ba540940118c6477.jpg,https://iprice.my/compare/oppo-f7/,,,,
,,,,,,Vivo V9,RM 500.00,5,https://p.ipricegroup.com/uploaded_084310ff7b6e8b27be1ab02acbeea6d1.jpg,https://iprice.my/compare/vivo-v9/,,,,
,,,,,,Samsung Galaxy J7 Prime,RM 599.00,3,https://p.ipricegroup.com/uploaded_9af6adc7872902f278ceac3eea988486.jpg,https://iprice.my/compare/samsung-galaxy-j7-prime/,,,,
,,,,,,OPPO A37,RM 420.00,3,https://p.ipricegroup.com/uploaded_fa7eccb676e7d8115d5cd5d7cfa81521.jpg,https://iprice.my/compare/oppo-a37/,,,,
,,,,,,Huawei P10 Lite,"RM 1,099.00",3,https://p.ipricegroup.com/uploaded_c41b86d4c7d5605d6720d80d6dd5c866.jpg,https://iprice.my/compare/huawei-p10-lite/,,,,
,,,,,,Xiaomi Redmi Note 4,RM 449.00,5,https://p.ipricegroup.com/uploaded_0fc5c9c164d74a29a5c069d74442ff72.jpg,https://iprice.my/compare/xiaomi-redmi-note-4/,,,,
,,,,,,vivo V5,RM 549.00,3,https://p.ipricegroup.com/uploaded_5f8caf5be2e1c0ec9bc92c067eda0276.jpg,https://iprice.my/compare/vivo-v5/,,,,
,,,,,,Oppo F9,RM 500.00,4,https://p.ipricegroup.com/uploaded_86e1f0058f55ec990099824a8255b5c9.jpg,https://iprice.my/compare/oppo-f9/,,,,
,,,,,,Samsung Galaxy S9,"RM 2,249.00",6,https://p.ipricegroup.com/uploaded_9b5e2c28a190bf4ecb973112f95d8075.jpg,https://iprice.my/compare/samsung-galaxy-s9/,,,,
,,,,,,Apple iPhone X,"RM 2,750.00",7,https://p.ipricegroup.com/uploaded_149fd591353013eb0adad5ae2ac51dcf.jpg,https://iprice.my/compare/apple-iphone-x/,,,,
,,,,,,Nokia 3310 (2017),RM 58.00,4,https://p.ipricegroup.com/uploaded_efdf57064ec4e4e7aa10eaa53b2c1c2e.jpg,https://iprice.my/compare/nokia-3310-2017/,,,,
,,,,,,Apple iPhone 8 Plus,"RM 2,230.00",8,https://p.ipricegroup.com/uploaded_d5a811a2a5010fb1b5ea05c19a764300.jpg,https://iprice.my/compare/apple-iphone-8-plus/,,,,
PDP-EL-SeeMore,section1_link,link,,,,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Huawei nova 3i,https://p.ipricegroup.com/uploaded_a0588a7277868badb3600f3ef8c3a2ff.jpg,https://iprice.my/compare/huawei-nova-3i/,,,,,,
,,,,,,OPPO A3s,https://p.ipricegroup.com/uploaded_5e3155c5c7c078f86853cb104a7f7f3e.jpg,https://iprice.my/compare/oppo-a3s/,,,,,,
,,,,,,Huawei Nova 4,https://p.ipricegroup.com/uploaded_23ebf5bd01102d107991a5a3a1f59f37.jpg,https://iprice.my/compare/huawei-nova-4/,,,,,,
,,,,,,Vivo V15,https://p.ipricegroup.com/uploaded_d5dde77517b2e5723de35e28820a016e.jpg,https://iprice.my/compare/vivo-v15/,,,,,,
,,,,,,Huawei Mate 20,https://p.ipricegroup.com/uploaded_5b89e8f96697994c76cb02127fe524a6.jpg,https://iprice.my/compare/huawei-mate-20/,,,,,,
,,,,,,Huawei Honor 8X,https://p.ipricegroup.com/uploaded_bf8e9d4e2f9c041c18d2a01ca581fd13.jpg,https://iprice.my/compare/huawei-honor-8x/,,,,,,
,,,,,,OPPO F11 Pro,https://p.ipricegroup.com/uploaded_ae274e16bd4aaeec76bb3fbd4c0ca734.jpg,https://iprice.my/compare/oppo-f11-pro/,,,,,,
,,,,,,Apple iPhone Xs Max,https://p.ipricegroup.com/uploaded_86fe0a47e553f5e46da91d517a04aa96.jpg,https://iprice.my/compare/apple-iphone-xs-max/,,,,,,
,,,,,,Apple iPhone XR,https://p.ipricegroup.com/uploaded_9c44fecb3c6b8dc85c91e97165e66093.jpg,https://iprice.my/compare/apple-iphone-xr/,,,,,,
,,,,,,OPPO F11,https://p.ipricegroup.com/uploaded_246f557da5f6ad7262d6dca9af325d20.jpg,https://iprice.my/compare/oppo-f11/,,,,,,
,,,,,,Huawei Mate 20 Pro,https://p.ipricegroup.com/uploaded_db5a90abe01436b33936e7613b544c68.jpg,https://iprice.my/compare/huawei-mate-20-pro/,,,,,,
,,,,,,Huawei P30 Pro,https://p.ipricegroup.com/uploaded_ef85b4f979f17267f1aec2a81160fbd3.jpg,https://iprice.my/compare/huawei-p30-pro/,,,,,,
,,,,,,Vivo Y91,https://p.ipricegroup.com/uploaded_6e0fa1b5f5082f7621b003518545513f.jpg,https://iprice.my/compare/vivo-y91/,,,,,,
,,,,,,Huawei Nova 4e,https://p.ipricegroup.com/uploaded_2caa5d2adec65cd6425e97be7b051e8d.jpg,https://iprice.my/compare/huawei-nova-4e/,,,,,,
,,,,,,Apple iPhone Xs,https://p.ipricegroup.com/uploaded_415c858b4e883614cfba4cc8847e7c84.jpg,https://iprice.my/compare/apple-iphone-xs/,,,,,,
,,,,,,Huawei P20 Pro,https://p.ipricegroup.com/uploaded_88e4d17a7d7a4c2da082f059c7c67b92.jpg,https://iprice.my/compare/huawei-p20-pro/,,,,,,
,,,,,,Apple iPhone 6,https://p.ipricegroup.com/uploaded_8fedeedccef59f3c2fba21f8541299c5.jpg,https://iprice.my/compare/apple-iphone-6/,,,,,,
,,,,,,Huawei Mate X,https://p.ipricegroup.com/uploaded_3ce822295a53f32356d842c39470a75f.jpg,https://iprice.my/compare/huawei-mate-x/,,,,,,
,,,,,,Vivo V15 Pro,https://p.ipricegroup.com/uploaded_edb433d617c429ac40323d539833cd02.jpg,https://iprice.my/compare/vivo-v15-pro/,,,,,,
,,,,,,Nintendo Switch,https://p.ipricegroup.com/uploaded_c39042bf1c8fc151e29f88fae06062af.jpg,https://iprice.my/compare/nintendo-switch/,,,,,,
PLP-FA-BrandCategory-Men-Carousel,section4,fashion-panel,Shop Men's Fashion,https://iprice.my/clothing/men/,,image-url,url,label,type,,,,,
,,,,,,https://a.ipricegroup.com/media/homepage/MY_menfashion.jpg,,1234,category-carousel,items,,,,
,,,,,,,,,,brand-name,name,url,image-url,main-url
,,,,,,,,,TRUE,Timberland,Shoes,https://iprice.my/timberland/shoes/men/,https://p.ipricegroup.com/d4d553b92523ece29d2d22116153187d2ddeb58d_0.jpg,https://iprice.my/timberland/shoes/
,,,,,,,,,TRUE,Fossil,Watches,https://iprice.my/fossil/watches/men/,https://p.ipricegroup.com/7cb3230a5795fd8137bcf1042e3feefadd7f7054_0.jpg,https://iprice.my/fossil/watches/
,,,,,,,,,TRUE,Seiko,Watches,https://iprice.my/seiko/watches/men/,https://p.ipricegroup.com/2853fccba8e69d65d79f76c00f534a575463fb77_0.jpg,https://iprice.my/seiko/watches/
,,,,,,,,,TRUE,Tommy Hilfiger,Clothing,https://iprice.my/tommy-hilfiger/clothing/men/,https://p.ipricegroup.com/32cd932827975e6dfe491aa4b9faec46e04c2638_0.jpg,https://iprice.my/tommy-hilfiger/clothing/
,,,,,,,,,TRUE,New Balance,Shoes,https://iprice.my/new-balance/shoes/men/,https://p.ipricegroup.com/c6994fd58d8f501751f5b88aa8de7216f467fbc9_0.jpg,https://iprice.my/new-balance/shoes/
,,,,,,,,,TRUE,Topman,Clothing,https://iprice.my/topman/clothing/men/,https://p.ipricegroup.com/3dd0fc1ace743cf99401b50a9ff41c1db4ce4135_0.jpg,https://iprice.my/topman/clothing/
,,,,,,,,,TRUE,Tomaz,Shoes,https://iprice.my/tomaz/shoes/men/,https://p.ipricegroup.com/4146bfc172e175f27a476d0c246f0e13f2c5e2a9_0.jpg,https://iprice.my/tomaz/shoes/
,,,,,,,,,TRUE,PUMA,Shoes,https://iprice.my/puma/shoes/men/,https://p.ipricegroup.com/195344f3207db309d0ee5b3c0422d9efddb135b9_0.jpg,https://iprice.my/puma/shoes/
,,,,,,,,,TRUE,Bigood,Beanies,https://iprice.my/clothing/men/beanies/,https://p.ipricegroup.com/38bbaa9d54f397424d1a3fbbb897418789c09401_0.jpg,https://iprice.my/clothing/beanies/
,,,,,,,,,TRUE,Casio,Watches,https://iprice.my/casio/watches/men/,https://p.ipricegroup.com/b0bdbbb7b60db7b95efc4f416ce1bbb60750e2b8_0.jpg,https://iprice.my/casio/watches/
,,,,,,,,,TRUE,Bata,Shoes,https://iprice.my/bata/shoes/men/,https://p.ipricegroup.com/3fe4d4564893153f78521e65f0a4e1d6d6af5a4a_0.jpg,https://iprice.my/bata/shoes/
,,,,,,,,,TRUE,Polo,Clothing,https://iprice.my/polo/clothing/men/,https://p.ipricegroup.com/01bda951bf7db91d5a233488a683ffb59a74928a_0.jpg,https://iprice.my/polo/clothing/
,,,,,,,,,TRUE,adidas,Duffel,https://iprice.my/bags/men/duffel/,https://p.ipricegroup.com/3352c20dc6340d3a8508f6a847d42819165a9e7b_0.jpg,https://iprice.my/bags/duffel/
,,,,,,,,,TRUE,Suunto,Watches,https://iprice.my/suunto/watches/men/,https://p.ipricegroup.com/50bf98481d812263bda2280a0146adac5d2a6a4c_0.jpg,https://iprice.my/suunto/watches/
,,,,,,,,,TRUE,Dockers,Pants,https://iprice.my/dockers/clothing/men/pants/,https://p.ipricegroup.com/ad18f8736482cd98d0ad8ced44a705ffa4d1b09d_0.jpg,https://iprice.my/dockers/clothing/pants/
,,,,,,,,,TRUE,Reebok,Shoes,https://iprice.my/reebok/shoes/men/,https://p.ipricegroup.com/41ff477205d7f8b97faa55a56b854c225fcdb54d_0.jpg,https://iprice.my/reebok/shoes/
,,,,,,,,,TRUE,Nike,Bags,https://iprice.my/nike/bags/men/,https://p.ipricegroup.com/f1e56130319381af8b35213cfa8eda9610d87a9f_0.jpg,https://iprice.my/nike/bags/
,,,,,,,,,TRUE,Nike,Shoes,https://iprice.my/nike/shoes/men/,https://p.ipricegroup.com/72c8c742b2959038e9e1aaa4a80f132010b21c3d_0.jpg,https://iprice.my/nike/shoes/
,,,,,,,,,TRUE,CURREN,Watches,https://iprice.my/curren/watches/men/,https://p.ipricegroup.com/57aadf30b1207cbbce23fe7346d7667be9d171fe_0.jpg,https://iprice.my/curren/watches/
PLP-FA-BrandCategory-Women-Carousel,section5,fashion-panel,Shop Women's Fashion,https://iprice.my/clothing/women/,,image-url,url,label,type,,,,,
,,,,,,https://a.ipricegroup.com/media/homepage/MY_womenfashion.jpg,,1234,category-carousel,items,,,,
,,,,,,,,,,brand-name,name,url,image-url,main-url
,,,,,,,,,TRUE,Timberland,Shoes,https://iprice.my/timberland/shoes/women/,https://p.ipricegroup.com/0eb31e22501350ffa4a801053e0025802fc18166_0.jpg,https://iprice.my/chanel/bags/
,,,,,,,,,TRUE,Fossil,Watches,https://iprice.my/fossil/watches/women/,https://p.ipricegroup.com/c9d51af382880e2f30c9c7c6ebd772d0d109527c_0.jpg,https://iprice.my/coach/bags/
,,,,,,,,,TRUE,Seiko,Watches,https://iprice.my/seiko/watches/women/,https://p.ipricegroup.com/c4b4415a3ae0446c337121ecf4cd5111de8c507e_0.jpg,https://iprice.my/charles-keith/bags/
,,,,,,,,,TRUE,Tommy Hilfiger,Clothing,https://iprice.my/tommy-hilfiger/clothing/women/,https://p.ipricegroup.com/6ee21142f34b3da1a79a89ff41980801f074646d_0.jpg,https://iprice.my/michael-kors/bags/
,,,,,,,,,TRUE,New Balance,Shoes,https://iprice.my/new-balance/shoes/women/,https://p.ipricegroup.com/f24601a70ba2428d93f9b98f5b9485f63889a92d_0.jpg,https://iprice.my/duck/clothing/scarves/
,,,,,,,,,FALSE,Topman,Clothing,,,https://iprice.my/swarovski/jewellery/
,,,,,,,,,TRUE,Tomaz,Shoes,https://iprice.my/tomaz/shoes/women/,https://p.ipricegroup.com/6a9737aad256d06016496f1187f93a45c363ee89_0.jpg,https://iprice.my/prada/bags/
,,,,,,,,,TRUE,PUMA,Shoes,https://iprice.my/puma/shoes/women/,https://p.ipricegroup.com/be27cf1b2d245a91c3a41493acf0e356ce638c63_0.jpg,https://iprice.my/bonia/bags/
,,,,,,,,,TRUE,Bigood,Beanies,https://iprice.my/clothing/women/beanies/,https://p.ipricegroup.com/17ecdd0f9c8859c6b57a6aadcff43994e7bc5048_0.jpg,https://iprice.my/vans/shoes/
,,,,,,,,,TRUE,Casio,Watches,https://iprice.my/casio/watches/women/,https://p.ipricegroup.com/79f401b8f83e0b2b6109fb67984d4523321bf266_0.jpg,https://iprice.my/birkenstock/shoes/
